site_id,lat,lon,f0,A0,T0,n_windows,status,note,mseed_file,xml_file
SP01,16.930067,96.171254,1.5333,148.0317,0.6522,110,ok,,RDEF5_NorthOkkalar_R.mseed,RDEF5.xml
SP02,16.94594,96.169725,1.4667,18.0494,0.6818,134,ok,,RCAF2_Insein_up.mseed,RCAF2.xml
SP03,16.94594,96.169725,0.9333,9.8345,1.0714,138,ok,,RCAF2_Insein_up.mseed,RCAF2 (1).xml
SP04,16.756232,96.091844,,,,0,incomplete,missing components: ['Z'],RCAF2_20-26.mseed,RCAF2.xml
SP05,16.844978217,96.1372723,,,,0,incomplete,missing components: ['Z'],R3AA4_BC_H_SP05.mseed,R3AA4.xml
SP06,16.866508,96.02848,,,,0,incomplete,missing components: ['Z'],RCAF2_HTY_SP06.mseed,RCAF2.xml
SP07,16.866553033,96.028502733,,,,0,incomplete,missing components: ['Z'],RDEF5_SPT_SP07.mseed,RDEF5.xml
SP08,16.901405283,96.17659595,,,,0,incomplete,missing components: ['Z'],RCAF2_SP08.mseed,RCAF2 _SP08.xml
SP09,16.91583303,96.212145467,,,,0,incomplete,missing components: ['Z'],RDEF5_SP09.mseed,RDEF5_SP09.xml
SP10,16.84498045,96.175905117,0.6333,3.3841,1.5789,150,ok,,R3AA4_SP10.mseed,R3AA4 _SP10.xml
SP11,16.858589,96.218976,1.1,3.7795,0.9091,150,ok,,R3AA4_SP11.mseed,R3AA4 _SP11.xml
SP12,16.830124,96.2739888,,,,0,incomplete,missing components: ['Z'],RCAF2_SP12.mseed,RCAF2 _SP12.xml
SP13,16.8143398,96.210868967,1.1333,4.8219,0.8824,150,ok,,RDEF5_SP13.mseed,RDEF5_SP13.xml
SP14,16.800354283,96.196361433,,,,0,incomplete,"missing components: ['Z', 'N/2']",RDEF5_SP14.mseed,RDEF5_SP14.xml
SP15,16.786526807,96.174916983,,,,0,incomplete,missing components: ['Z'],R3AA4_SP15.mseed,R3AA4 _SP15.xml
SP16,16.755845,96.157185,,,,0,incomplete,missing components: ['Z'],RCAF2_SP16.mseed,RCAF2 _SP16.xml
SP17,16.752025767,96.262731867,0.8333,2.8623,1.2,150,ok,,R3AA4_SP17.mseed,R3AA4_SP17.xml
SP18,16.80942035,96.218372983,0.9,5.4858,1.1111,150,ok,,RDEF5_SP18.mseed,RDEF5_SP18.xml
SP19,16.86328655,96.135579183,0.7667,3.7942,1.3043,150,ok,,RCAF2_SP19.mseed,RCAF2 _SP19.xml
SP20,16.807783,96.180473,0.7,6.2711,1.4286,148,ok,,RCAF2_SP20.mseed,RCAF2 _SP20.xml
SP21,16.81093,96.136183,0.6,4.1149,1.6667,150,ok,,RDEF5_SP21.mseed,RDEF5_SP21.xml
SP23,16.7970224,96.122624287,0.9667,7.5917,1.0345,150,ok,,RCAF2_SP23.mseed,RCAF2_SP23.xml
SP24,16.812753933,96.157445017,0.7667,5.2101,1.3043,146,ok,,R3AA4_SP24.mseed,R3AA4_SP24.xml
SP25,16.825978,96.163862,0.6,4.1149,1.6667,150,ok,,RDEF5_SP25.mseed,RDEF5_SP25.xml
