adm3_name,adm2_name,adm3_pcode,area_sqkm,center_lat,center_lon,building_count,building_density_km2,coverage_ratio,total_footprint_m2,mean_footprint_m2,median_footprint_m2,p90_footprint_m2,dom_building_period_s,resonance_risk,mean_T0,mean_f0,mean_A0,nehrp_class
Insein,Yangon (North),MMR013001,30.4510723,16.90282377,96.10389661,30099,988.4380984508056,0.181554637109861,5528533.381032641,183.67830761927772,79.5413190404739,292.92684174202367,0.2,Low,1.0118,0.9932,7.2357,E (Very Soft)
Mingaladon,Yangon (North),MMR013002,131.27381571,16.98990784,96.13499718,52992,403.6753233185957,0.0566529155565691,7437044.396207252,140.34277619654387,65.784684815549,250.4959117228447,0.2,Low,0.9621,1.0474,11.0971,E (Very Soft)
Hmawbi,Yangon (North),MMR013003,471.76349474,17.13096716,96.04363649,35254,74.72812202103368,0.0089723803073694,4232841.48994096,120.0669850213014,58.2804777709292,230.9521504932104,0.2,Low,1.0084,0.9917,7.8466,E (Very Soft)
Hlegu,Yangon (North),MMR013004,1508.4943959,17.29103176,96.20272976,40849,27.07931836606434,0.0030437537918286,4591485.537472955,112.40141833271204,56.42001976757009,237.12395663841045,0.2,Low,1.0075,0.9928,7.9358,E (Very Soft)
Taikkyi,Yangon (North),MMR013005,1762.57337115,17.48235298,95.90787382,41595,23.59901759599439,0.0018914516378953,3333822.289772439,80.14959225321407,52.4800813014065,136.2853870110322,0.2,Low,1.0084,0.9917,7.5451,E (Very Soft)
Htantabin,Yangon (North),MMR013006,611.2006573,17.05679492,95.88870224,10496,17.172756401091654,0.0011793097638322,720794.9028145522,68.67329485656938,39.88803310672114,110.81785628844668,0.1,Low,1.0084,0.9917,7.5644,E (Very Soft)
Shwepyithar,Yangon (North),MMR013007,54.61086029,16.97789192,96.07270064,46508,851.6254780281544,0.0976319389848441,5331764.179743125,114.64187193048777,59.21449453943384,170.56531736702226,0.2,Low,1.0018,0.9988,9.7232,E (Very Soft)
Thingangyun,Yangon (East),MMR013009,13.1690719,16.82975272,96.19534226,14855,1128.0217856506654,0.2121472262445186,2793782.0757996333,188.0701498350477,126.79781296427826,354.91643874182955,0.2,Low,1.1172,0.9102,4.485,E (Very Soft)
Yankin,Yangon (East),MMR013010,4.92596969,16.83733177,96.16409074,6133,1245.0340513564956,0.2270509565646415,1118446.1301229305,182.3652584580027,116.4662795160533,346.4202866115653,0.2,Low,1.601,0.6256,3.8468,E (Very Soft)
South Okkalapa,Yangon (East),MMR013011,8.09917302,16.84936123,96.18315896,14389,1776.6011374825523,0.2699925043680724,2186716.006980124,151.9713675015723,109.71414740995264,280.397855148007,0.2,Low,1.3387,0.7572,3.7654,E (Very Soft)
