adm3_name,adm2_name,adm3_pcode,area_sqkm,center_lat,center_lon,mean_f0,mean_A0,mean_T0,nehrp_class
Insein,Yangon (North),MMR013001,30.4510723,16.90282377,96.10389661,0.9932,7.2357,1.0118,E (Very Soft)
Mingaladon,Yangon (North),MMR013002,131.27381571,16.98990784,96.13499718,1.0474,11.0971,0.9621,E (Very Soft)
Hmawbi,Yangon (North),MMR013003,471.76349474,17.13096716,96.04363649,0.9917,7.8466,1.0084,E (Very Soft)
Hlegu,Yangon (North),MMR013004,1508.4943959,17.29103176,96.20272976,0.9928,7.9358,1.0075,E (Very Soft)
Taikkyi,Yangon (North),MMR013005,1762.57337115,17.48235298,95.90787382,0.9917,7.5451,1.0084,E (Very Soft)
Htantabin,Yangon (North),MMR013006,611.2006573,17.05679492,95.88870224,0.9917,7.5644,1.0084,E (Very Soft)
Shwepyithar,Yangon (North),MMR013007,54.61086029,16.97789192,96.07270064,0.9988,9.7232,1.0018,E (Very Soft)
Thingangyun,Yangon (East),MMR013009,13.1690719,16.82975272,96.19534226,0.9102,4.485,1.1172,E (Very Soft)
Yankin,Yangon (East),MMR013010,4.92596969,16.83733177,96.16409074,0.6256,3.8468,1.601,E (Very Soft)
South Okkalapa,Yangon (East),MMR013011,8.09917302,16.84936123,96.18315896,0.7572,3.7654,1.3387,E (Very Soft)
North Okkalapa,Yangon (East),MMR013012,27.39382034,16.91598129,96.15940276,1.2618,10.3516,0.8021,E (Very Soft)
Thaketa,Yangon (East),MMR013013,13.13242402,16.79600134,96.21187724,0.9204,5.4205,1.0879,E (Very Soft)
Dawbon,Yangon (East),MMR013014,3.25774292,16.79077459,96.19083645,0.8654,6.0557,1.1569,E (Very Soft)
Tamwe,Yangon (East),MMR013015,4.76373259,16.80945538,96.17881381,0.7119,5.6352,1.4092,E (Very Soft)
Pazundaung,Yangon (East),MMR013016,1.10779903,16.77798594,96.17457491,0.8783,6.4434,1.1388,E (Very Soft)
Botahtaung,Yangon (East),MMR013017,3.06425391,16.77308675,96.17399623,0.9112,6.4208,1.0976,E (Very Soft)
Dagon Myothit (South),Yangon (East),MMR013018,88.69071794,16.91666975,96.27398777,1.0384,6.8624,0.9655,E (Very Soft)
Dagon Myothit (North),Yangon (East),MMR013019,23.90586777,16.88624791,96.17984169,1.0987,5.8667,0.9214,E (Very Soft)
Dagon Myothit (East),Yangon (East),MMR013020,83.5567554,16.94512022,96.25067817,1.1095,8.9263,0.91,E (Very Soft)
Dagon Myothit (Seikkan),Yangon (East),MMR013021,79.24475429,16.87822373,96.29035613,1.0134,6.1037,0.9874,E (Very Soft)
Mingalartaungnyunt,Yangon (East),MMR013022,5.07320462,16.793927,96.18401195,0.8225,6.3038,1.2178,E (Very Soft)
Thanlyin,Yangon (South),MMR013023,360.37591324,16.82495578,96.35961301,0.9574,5.5975,1.0466,E (Very Soft)
Kyauktan,Yangon (South),MMR013024,821.26041179,16.60234565,96.46946972,0.9911,7.2954,1.009,E (Very Soft)
Thongwa,Yangon (South),MMR013025,780.29070392,16.7082457,96.58778964,0.9917,7.5113,1.0084,E (Very Soft)
Kayan,Yangon (South),MMR013026,615.5203485,16.88673935,96.58188005,0.9917,7.5292,1.0084,E (Very Soft)
Twantay,Yangon (South),MMR013027,714.20850458,16.73779566,95.98545886,0.9969,7.674,1.0034,E (Very Soft)
Kawhmu,Yangon (South),MMR013028,616.75399436,16.54306375,96.10885828,0.9917,7.561,1.0084,E (Very Soft)
Kungyangon,Yangon (South),MMR013029,610.57713873,16.43262617,96.11047718,0.9917,7.5451,1.0084,E (Very Soft)
Dala,Yangon (South),MMR013030,229.19546738,16.67991598,96.13825754,1.0,7.8853,1.0005,E (Very Soft)
Seikgyikanaungto,Yangon (South),MMR013031,12.28878668,16.76649676,96.11040694,1.0611,8.1473,0.9426,E (Very Soft)
Kyauktada,Yangon (West),MMR013033,0.72344106,16.7743332,96.16131697,0.9069,6.7088,1.1028,E (Very Soft)
Pabedan,Yangon (West),MMR013034,0.59059294,16.77548142,96.15572775,0.9153,6.8024,1.0927,E (Very Soft)
Lanmadaw,Yangon (West),MMR013035,1.88965542,16.7761608,96.14191474,0.9391,7.0904,1.0651,E (Very Soft)
Latha,Yangon (West),MMR013036,0.61457223,16.77616556,96.15051864,0.9257,6.9218,1.0803,E (Very Soft)
Ahlone,Yangon (West),MMR013037,3.54443238,16.7855142,96.12699724,0.9634,7.4108,1.039,E (Very Soft)
Kyeemyindaing,Yangon (West),MMR013038,11.1629683,16.80646533,96.0925976,0.8963,6.4902,1.1234,E (Very Soft)
Sanchaung,Yangon (West),MMR013039,2.32724243,16.80699137,96.13353216,0.7281,5.303,1.3825,E (Very Soft)
Hlaing,Yangon (West),MMR013040,9.95688874,16.84693303,96.12088316,0.7282,4.3862,1.3776,E (Very Soft)
Kamaryut,Yangon (West),MMR013041,6.45535435,16.82329337,96.13152672,0.6484,4.3168,1.5464,E (Very Soft)
Mayangone,Yangon (West),MMR013042,24.50238877,16.85931953,96.15344248,0.7896,4.4771,1.2885,E (Very Soft)
Dagon,Yangon (West),MMR013043,4.86998083,16.79300305,96.14449028,0.852,6.3858,1.1766,E (Very Soft)
Bahan,Yangon (West),MMR013044,8.42655946,16.81105267,96.15700645,0.7218,5.1883,1.3944,E (Very Soft)
Hlaingtharya (East),Yangon (North),MMR013046,36.11716231,16.8688221,96.06478162,0.929,6.2212,1.0812,E (Very Soft)
Hlaingtharya (West),Yangon (North),MMR013047,37.22320597,16.89127675,96.03491738,0.9919,7.0,1.0083,E (Very Soft)
