adm3_name,adm2_name,adm3_pcode,area_sqkm,center_lat,center_lon,mean_f0,mean_A0,mean_T0,nehrp_class,building_density_km2,coverage_ratio,resonance_risk,interp_pga_cms2,hazard_score,exposure_score,pga_score,SRI,SRI_class
Insein,Yangon (North),MMR013001,30.4510723,16.90282377,96.10389661,0.9912,28.5429,1.0122,E (Very Soft),988.44,0.1816,Low,68.01,0.5779,0.4766,0.7874,0.5948,Moderate
Mingaladon,Yangon (North),MMR013002,131.27381571,16.98990784,96.13499718,1.1866,38.7619,0.8445,E (Very Soft),403.68,0.0567,Low,45.478,0.79,0.1939,0.5199,0.5138,Moderate
Hmawbi,Yangon (North),MMR013003,471.76349474,17.13096716,96.04363649,1.1718,34.5828,0.8541,E (Very Soft),74.73,0.009,Low,33.404,0.7032,0.0349,0.3765,0.3877,Low
Hlegu,Yangon (North),MMR013004,1508.4943959,17.29103176,96.20272976,1.2408,36.1141,0.806,E (Very Soft),27.08,0.003,Low,30.075,0.735,0.0119,0.337,0.3824,Low
Taikkyi,Yangon (North),MMR013005,1762.57337115,17.48235298,95.90787382,1.1854,34.4125,0.8444,E (Very Soft),23.6,0.0019,Low,27.919,0.6997,0.0102,0.3114,0.3613,Low
Htantabin,Yangon (North),MMR013006,611.2006573,17.05679492,95.88870224,1.0664,28.3688,0.94,E (Very Soft),17.17,0.0012,Low,31.436,0.5743,0.0071,0.3532,0.3205,Low
Shwepyithar,Yangon (North),MMR013007,54.61086029,16.97789192,96.07270064,1.1191,34.4592,0.8942,E (Very Soft),851.63,0.0976,Low,45.288,0.7007,0.4104,0.5176,0.5533,Moderate
Thingangyun,Yangon (East),MMR013009,13.1690719,16.82975272,96.19534226,0.8864,6.7884,1.1324,E (Very Soft),1128.02,0.2121,Low,20.146,0.1263,0.544,0.2191,0.2957,Low
Yankin,Yangon (East),MMR013010,4.92596969,16.83733177,96.16409074,0.7623,7.6299,1.3128,E (Very Soft),1245.03,0.2271,Low,22.074,0.1438,0.6006,0.242,0.3282,Low
South Okkalapa,Yangon (East),MMR013011,8.09917302,16.84936123,96.18315896,0.8481,11.3291,1.1823,E (Very Soft),1776.6,0.27,Low,32.615,0.2205,0.8575,0.3672,0.4801,Low
North Okkalapa,Yangon (East),MMR013012,27.39382034,16.91598129,96.15940276,1.1654,48.8785,0.8641,E (Very Soft),1391.77,0.1812,Low,56.64,1.0,0.6715,0.6524,0.7981,High
Thaketa,Yangon (East),MMR013013,13.13242402,16.79600134,96.21187724,0.8874,4.3082,1.129,E (Very Soft),1313.62,0.1928,Low,14.363,0.0748,0.6337,0.1505,0.2894,Low
Dawbon,Yangon (East),MMR013014,3.25774292,16.79077459,96.19083645,0.8169,3.4456,1.2244,E (Very Soft),1297.52,0.2445,Low,10.044,0.0569,0.626,0.0992,0.2666,Low
Tamwe,Yangon (East),MMR013015,4.76373259,16.80945538,96.17881381,0.7684,4.7338,1.3019,E (Very Soft),1195.7,0.2673,Low,10.094,0.0836,0.5767,0.0998,0.2603,Low
Pazundaung,Yangon (East),MMR013016,1.10779903,16.77798594,96.17457491,0.791,3.0768,1.2643,E (Very Soft),1136.49,0.3206,Low,7.258,0.0492,0.5481,0.0661,0.2281,Very Low
Botahtaung,Yangon (East),MMR013017,3.06425391,16.77308675,96.17399623,0.8004,2.7327,1.2496,E (Very Soft),639.63,0.2195,Low,7.97,0.0421,0.308,0.0746,0.1433,Very Low
Dagon Myothit (South),Yangon (East),MMR013018,88.69071794,16.91666975,96.27398777,1.1339,24.3146,0.8862,E (Very Soft),500.28,0.0551,Low,31.354,0.4901,0.2406,0.3522,0.3683,Low
Dagon Myothit (North),Yangon (East),MMR013019,23.90586777,16.88624791,96.17984169,1.0285,29.7236,0.9761,E (Very Soft),1414.3,0.1487,Low,48.601,0.6024,0.6824,0.5569,0.619,Moderate
Dagon Myothit (East),Yangon (East),MMR013020,83.5567554,16.94512022,96.25067817,1.1884,35.9239,0.8425,E (Very Soft),293.19,0.0349,Low,36.623,0.7311,0.1405,0.4147,0.4453,Low
Dagon Myothit (Seikkan),Yangon (East),MMR013021,79.24475429,16.87822373,96.29035613,1.0965,19.3158,0.915,E (Very Soft),260.67,0.0347,Low,26.726,0.3863,0.1248,0.2973,0.2725,Low
Mingalartaungnyunt,Yangon (East),MMR013022,5.07320462,16.793927,96.18401195,0.7844,3.7671,1.2752,E (Very Soft),753.37,0.1978,Low,6.85,0.0636,0.3629,0.0613,0.1678,Very Low
Thanlyin,Yangon (South),MMR013023,360.37591324,16.82495578,96.35961301,0.9826,10.3493,1.0279,E (Very Soft),5.56,0.0014,Low,17.565,0.2002,0.0015,0.1885,0.1277,Very Low
Kyauktan,Yangon (South),MMR013024,821.26041179,16.60234565,96.46946972,0.9124,4.7133,1.0983,E (Very Soft),3.44,0.0005,Low,14.23,0.0832,0.0005,0.1489,0.0707,Very Low
Thongwa,Yangon (South),MMR013025,780.29070392,16.7082457,96.58778964,1.0229,12.1076,0.9788,E (Very Soft),26.27,0.0018,Low,18.931,0.2367,0.0115,0.2047,0.1499,Very Low
Kayan,Yangon (South),MMR013026,615.5203485,16.88673935,96.58188005,1.1081,19.1865,0.903,E (Very Soft),2.48,0.0001,Low,21.833,0.3836,0.0,0.2392,0.2132,Very Low
Twantay,Yangon (South),MMR013027,714.20850458,16.73779566,95.98545886,0.8591,10.6107,1.1667,E (Very Soft),19.73,0.0012,Low,21.097,0.2056,0.0083,0.2304,0.1428,Very Low
Kawhmu,Yangon (South),MMR013028,616.75399436,16.54306375,96.10885828,0.8033,2.0999,1.245,E (Very Soft),7.41,0.0005,Low,15.821,0.029,0.0024,0.1678,0.0544,Very Low
Kungyangon,Yangon (South),MMR013029,610.57713873,16.43262617,96.11047718,0.8022,0.7047,1.2468,E (Very Soft),14.96,0.001,Low,15.655,0.0,0.006,0.1658,0.0436,Very Low
